epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,946.071,0.84883,0.62292,0.93537,0.81725,0.67548,0.79485,0.47091,1.31871,0.99072,1.14131,0.000525123,0.000525123,0.000525123
58,962.616,0.86002,0.62426,0.93845,0.79368,0.68683,0.76917,0.46684,1.2684,0.97451,1.12928,0.000519625,0.000519625,0.000519625
59,979.155,0.84951,0.61063,0.93283,0.76495,0.70588,0.77145,0.45197,1.27075,0.94712,1.11507,0.000514128,0.000514128,0.000514128
60,995.803,0.86135,0.61926,0.93217,0.75876,0.73244,0.77083,0.47735,1.20554,0.94286,1.1036,0.00050863,0.00050863,0.00050863
61,1012.46,0.83543,0.60332,0.92968,0.75036,0.72545,0.77134,0.4765,1.25361,0.98488,1.14805,0.000503132,0.000503132,0.000503132
62,1028.97,0.85293,0.61374,0.93239,0.72137,0.70806,0.75232,0.46589,1.25859,0.96263,1.12278,0.000497634,0.000497634,0.000497634
63,1045.7,0.84846,0.61101,0.92303,0.74279,0.67559,0.76551,0.47005,1.25928,0.93614,1.11221,0.000492136,0.000492136,0.000492136
64,1062.28,0.82492,0.59185,0.91885,0.78249,0.66916,0.75143,0.47131,1.2819,1.03075,1.11741,0.000486639,0.000486639,0.000486639
65,1078.91,0.82168,0.58196,0.92672,0.79569,0.6828,0.77197,0.4628,1.27506,0.92354,1.12079,0.000481141,0.000481141,0.000481141
66,1095.63,0.8217,0.57976,0.92272,0.74281,0.73896,0.76959,0.4691,1.26013,0.94203,1.13066,0.000475643,0.000475643,0.000475643
67,1112.07,0.82303,0.56862,0.92506,0.77807,0.73533,0.77763,0.48091,1.2678,0.90992,1.12502,0.000470145,0.000470145,0.000470145
68,1128.59,0.81173,0.56631,0.91579,0.72066,0.72889,0.77824,0.48065,1.26797,0.91868,1.11677,0.000464647,0.000464647,0.000464647
69,1145,0.81253,0.56399,0.92378,0.72463,0.7169,0.7702,0.46109,1.33929,1.00195,1.1441,0.00045915,0.00045915,0.00045915
70,1161.39,0.83368,0.57444,0.92838,0.77311,0.6504,0.74135,0.46127,1.25511,1.02267,1.11766,0.000453652,0.000453652,0.000453652
71,1177.84,0.81278,0.57051,0.92004,0.76208,0.68564,0.77,0.4782,1.20155,0.93495,1.09215,0.000448154,0.000448154,0.000448154
72,1194.44,0.79925,0.55008,0.91685,0.76294,0.70193,0.76963,0.46759,1.21857,0.92977,1.09687,0.000442656,0.000442656,0.000442656
73,1211,0.7985,0.56416,0.91936,0.74971,0.71121,0.77801,0.47343,1.25135,0.92215,1.11385,0.000437158,0.000437158,0.000437158
74,1227.76,0.7852,0.5456,0.91343,0.7713,0.65441,0.74427,0.45945,1.2604,0.96909,1.12178,0.000431661,0.000431661,0.000431661
75,1244.41,0.79388,0.54115,0.91484,0.78178,0.65667,0.73841,0.46593,1.2264,0.97317,1.11008,0.000426163,0.000426163,0.000426163
76,1261.14,0.80354,0.5488,0.9166,0.77351,0.68131,0.73364,0.45079,1.27719,0.98293,1.12784,0.000420665,0.000420665,0.000420665
